Cow Number,Robot,Group number,Lac. no,Lactation days,Away,Interval Exceed,Milk yield exp,Day production,Nr of Refusal,No. of Failures,Milk interval,Days Pregnant,Avg. Milkings,Last Routing Date Time,Last Routing Direction
2008,103,5,2,243,00:00,0,0,19.4,1,0,2.5,,1.9,12-04-2024 10:41,Post milking area
1477,101,5,2,238,00:04,1,0.1,18.6,0,0,2.5,,2.1,12-04-2024 10:37,Post milking area
1266,102,5,6,52,01:49,34,3.2,45.9,0,0,4,,3,12-04-2024 08:54,d Grazing A
2044,103,5,2,55,08:53,140,10.2,27.3,0,0,3.4,,2,12-04-2024 08:44,Pre milking 
2202,101,4,1,57,09:18,125,9.2,24,0,0,2.9,,1.7,12-04-2024 01:25,d Grazing B
2136,103,4,1,195,09:33,120,5.1,12,1,0,2.5,154,1.4,12-04-2024 01:34,d Grazing B
2201,101,4,1,53,09:53,142,10.1,23.2,0,0,3.1,,2.1,12-04-2024 08:33,Pre milking 
2128,102,4,1,50,11:07,144,10.3,21.1,0,0,2.8,,2.4,12-04-2024 09:41,Pre milking 
1925,102,5,3,32,11:16,167,10.1,22.9,0,0,3.2,,2,11-04-2024 23:44,d Grazing B
2112,101,5,2,26,11:20,210,14,30,0,0,4,,2.6,11-04-2024 23:23,d Grazing B
2020,103,5,2,50,11:21,205,15,31.7,0,0,3.9,,2.4,12-04-2024 10:30,Pre milking 
1903,101,5,4,30,11:34,214,15.8,35.3,0,0,4,,2.3,11-04-2024 23:11,d Grazing B
2111,103,5,2,50,11:34,155,11.4,24.8,0,0,2.9,,2,11-04-2024 23:21,d Grazing B
1469,102,5,2,595,12:03,140,7,14.6,0,0,2.5,154,1.9,11-04-2024 22:39,d Grazing B
2015,101,5,2,237,12:08,140,8.4,19.1,0,0,2.5,,2,12-04-2024 10:00,Pre milking 
1384,101,5,3,233,12:13,164,11.7,23,0,0,2.9,,2,11-04-2024 22:32,d Grazing B
2011,103,5,2,21,12:23,224,13.8,28.7,0,0,3.9,,2.4,12-04-2024 10:35,Pre milking 
1460,101,5,7,45,12:23,229,17.4,36.2,0,0,4,,2.9,11-04-2024 22:24,d Grazing B
2031,102,5,2,243,12:24,144,8.7,16,0,0,2.5,154,1.7,11-04-2024 22:17,d Grazing B
2114,103,5,2,51,12:29,168,12.2,23.1,0,0,2.9,,2,11-04-2024 22:19,d Grazing B
2109,102,4,1,199,12:30,145,9.7,18.8,0,0,2.5,,1.9,11-04-2024 22:13,d Grazing B
1380,102,5,3,220,12:37,146,10,21.5,0,0,2.5,154,2,12-04-2024 10:31,Pre milking 
1466,101,5,3,235,12:38,164,11.5,24.4,0,0,2.8,,1.9,11-04-2024 22:07,d Grazing B
2026,103,4,1,602,12:41,147,6.3,13,0,0,2.5,129,1.6,11-04-2024 22:04,d Grazing B
1366,103,5,5,242,12:53,149,10.1,19.7,0,0,2.5,,1.9,11-04-2024 21:55,d Grazing B
1283,102,5,4,239,12:57,150,9.6,20.6,0,0,2.5,154,2,11-04-2024 21:49,d Grazing B
1283,102,5,4,239,12:57,150,9.6,20.6,0,0,2.5,154,2,11-04-2024 21:49,d Grazing B
1267,102,5,5,240,13:14,153,9.5,17.4,0,0,2.5,154,1.9,11-04-2024 21:31,d Grazing B
1251,103,5,5,228,13:24,161,11.8,23.2,0,0,2.6,,2.1,11-04-2024 21:24,d Grazing B
1907,102,5,3,243,13:27,156,9.2,19.8,0,0,2.5,,2,11-04-2024 21:18,d Grazing B
1336,103,5,4,241,13:35,157,9.9,18.4,0,0,2.5,,1.9,11-04-2024 21:17,d Grazing B
1282,102,5,5,585,13:38,158,6.5,9.8,0,0,2.5,119,1.7,11-04-2024 21:06,d Grazing B
1282,102,5,5,585,13:38,158,6.5,9.8,0,0,2.5,119,1.7,11-04-2024 21:06,d Grazing B
1379,103,5,4,178,13:43,178,12.7,24.1,0,0,2.8,,1.7,11-04-2024 21:04,d Grazing B
1930,101,5,2,382,14:46,171,9.4,16.4,0,0,2.5,133,2,11-04-2024 21:01,d Grazing B
2029,101,4,1,387,15:16,177,9,15.3,0,0,2.5,134,1.9,11-04-2024 21:03,d Grazing B
1347,101,5,5,242,15:21,185,13.1,21,1,0,2.6,,2,12-04-2024 10:31,Pre milking 
1904,101,5,3,240,15:31,180,11.6,21.8,1,0,2.5,154,1.9,12-04-2024 09:41,Pre milking 
1922,102,5,3,202,16:23,190,12,20,1,0,2.5,,2,11-04-2024 22:39,d Grazing B
2002,103,5,2,213,16:31,229,16.4,24.8,1,0,3,,2.1,12-04-2024 10:18,Pre milking 
1368,103,5,4,193,16:51,219,15.5,25.2,1,0,2.8,,2,12-04-2024 10:34,Pre milking 
1231,102,5,7,232,16:52,195,13.2,21,1,0,2.5,,2,11-04-2024 22:27,d Grazing B
2113,103,5,2,53,17:08,286,20.3,31.1,1,1,3.6,,2.3,12-04-2024 09:38,Pre milking 
2137,103,4,1,218,17:31,203,6.1,9.2,1,2,2.5,132,1.7,12-04-2024 10:09,Pre milking 
2129,102,4,1,243,21:01,243,9.2,14.9,0,4,2.5,,1.6,12-04-2024 07:59,d Batch Separation area
